title,year,director,actor1,actor2,genre,rating,country,releasedate
Dead Tone,2007,Deon Taylor,Rutger Hauer,Gwendoline Yeo,Horror,4.7,USA,24-Aug-07
Virtual Desire,1995,Jim Wynorski,Mike Meyer,Ross Hagen,Thriller,4,USA,24-Oct-95
Song One,2014,Kate Barker-Froyland,Anne Hathaway,Johnny Flynn,Drama,5.8,USA,22-Jan-15
Academy Boyz,1997,None,Justin Whalin,Jeffrey D. Sams,Drama,6.7,USA,2-Dec-97
When I'm with You,2015,Daniel Armando,Adrienne Lovette,Evan Price,Drama,8.3,USA,26-Feb-15
A Chemical Skyline,2010,None,Orris L. Johnson,Sean Dungee,Action,4.3,USA,12-Oct-10
Dreams Come True,1984,None,Bert Kinyon,Michael Sanville,Adventure,5.9,USA,Aug-84
Blood Reservoir,2014,Mark Anthony Del Negro,Felissa Rose,Jonathan Tiersten,Horror,5,USA,31-Oct-14
Movement and Location,2014,None,Bodine Boling,Catherine Missal,Drama,7.6,USA,18-Sep-15
Je'Caryous Johnson's Marriage Material,2013,Je'Caryous Johnson,Robin Givens,Jazsmin Lewis,Comedy,6.4,USA,21-Jan-13
The Tree of Ghibet,2007,Nevina Satta,Andre' Bang,Nicole Bassimi,Drama,7.6,USA,29-Feb-08
The Men,2017,Michael G. Cooney,Neil Arnote,Aaron Behr,Mystery,6,USA,2017
Coming Through the Rye,2015,James Steven Sadwith,Alex Wolff,Stefania LaVie Owen,Drama,6.3,USA,14-Oct-16
The Jet Benny Show,1986,Roger Evans,Steve Garfinkel,Mark Walz,Comedy,3.5,USA,NA
A Walk with Love and Death,1969,John Huston,Anjelica Huston,Assi Dayan,Drama,6.3,USA,5-Oct-69
Metal,1999,Christopher E. Brown,Wedrell James,Venieta Porter,Drama,5.8,USA,NA
29th & Gay,2005,Carrie Preston,Nicole Marcks,David McBean,Comedy,5.1,USA,29-Apr-05
Jigsaw,2017,Peter Spierig,Matt Passmore,Tobin Bell,Crime,5.9,USA,27-Oct-17
Uncharted,2009,Frank Nunez,Demetrius Navarro,Shana Montanez,Horror,2.1,USA,2009
Teenage Bride,1974,Gary Troy,Colleen Brennan,Don Summerfield,Adult,5.1,USA,21-Jun-74
Under a Shipwrecked Moon,2003,Antero Alli,Sylvi Alli,Lea Bender,Fantasy,8.6,USA,11-May-03
Fire in the Sky,1993,Robert Lieberman,D.B. Sweeney,Robert Patrick,Biography,6.5,USA,12-Mar-93
Insatiable,1980,Stu Segall,John Leslie,Robert Pennard,Adult,6.6,USA,24-Sep-80
Extremes,1981,Alan Vydra,John Leslie,Susan Nero,Adult,5.5,USA,24-Jan-83
No Regrets,2016,Mark Harris,Sharon Leal,Loretta Devine,Comedy,6.9,USA,Nov-16
Rolling Stone: Stories From The Edge,2017,Alex Gibney,Jeff Daniels,Johnny Depp,Documentary,7.6,USA,6-Nov-17
CIA Code Name: Alexa,1992,Joseph Merhi,Kathleen Kinmont,Lorenzo Lamas,Action,4.2,USA,6-Mar-93
Mr. Roosevelt,2017,None,NoÃ«l Wells,Nick Thune,Comedy,6.2,USA,22-Nov-17
Friended to Death,2014,None,Ryan Hansen,James Immekus,Comedy,4.9,USA,2-May-14
Lost Horizon,1973,Charles Jarrott,Peter Finch,Liv Ullmann,Adventure,5.2,USA,17-Mar-73
Naughty Nudes,1965,Barry Mahon,Priscilla,Gigi Darlene,Comedy,5.2,USA,22-Oct-65
Coyote Funeral,2006,Jason May,Jono Young,Zach Freeman,Drama,7.5,USA,11-Nov-06
Playing for Keeps,2012,Gabriele Muccino,Gerard Butler,Jessica Biel,Comedy,5.7,USA,7-Dec-12
Natalie's Rose,1998,Paul McKellips,Heidi Creel,Lynn Marie Sager,Family,4.2,USA,10-Jul-98
Element,2016,Jon Keeyes,Michael Ironside,Steven Michael Quezada,Thriller,3.7,USA,1-Apr-16
Beat the Bash,1996,Michael Costanza,Wilson Cruz,Meredith Scott Lynn,Action,7.8,USA,NA
A Horse Story,2016,John Rogers,Sarah Lieving,Aaron Johnson Araza,Family,6.3,USA,14-Mar-16
Against the Law,1997,Jim Wynorski,Nancy Allen,Richard Grieco,Action,4.6,USA,1997
Cradle Will Rock,1999,Tim Robbins,Hank Azaria,RubÃ©n Blades,Drama,6.9,USA,21-Jan-00
Memoirs of a Geisha,2005,Rob Marshall,Ziyi Zhang,Ken Watanabe,Drama,7.4,USA,23-Dec-05
Better Living,1998,Max Mayer,Scott Cohen,Olympia Dukakis,Comedy,4.6,USA,2-Nov-98
Undead Apocalypse,2012,Lazaro Nunez,Christopher Diaz,Joe Coffey,Horror,5.6,USA,1-Jul-12
Drag Me to Hell,2009,Sam Raimi,Alison Lohman,Justin Long,Horror,6.6,USA,29-May-09
Must Love Dogs,2005,None,Diane Lane,John Cusack,Comedy,5.9,USA,29-Jul-05
Grown Men on Tricycles,2015,Doug Sharp,Kevin Roach,Cody Webb,Comedy,9.1,USA,28-Jan-15
Marmalade,2004,Kim Dempster,Jill Sorensen,Jennifer Kusner,Comedy,6.4,USA,14-Jun-04
Junkfood Horrorfest,2007,Scarlet Fry,Tasha Castor,Calico Cooper,Horror,3.1,USA,24-Jul-07
The Coat Room,2005,None,Claire Bromwell,Patrick Carrico,Comedy,7.1,USA,12-Oct-05
Of the Flesh,2007,None,Alan McClintock,Greg Mason,Horror,7,USA,20-Apr-07
Through the Looking Glass,1976,Jonas Middleton,Catharine Burgess,Jamie Gillis,Adult,6.8,USA,17-Oct-77
The Pizza Delivery Massacre,2010,Kenny Joslen,Kandice Shaw,Steve McNames,Comedy,3.4,USA,23-Apr-10
Swelter,2014,Keith Parmer,Jean-Claude Van Damme,Mindy Robinson,Action,4.6,USA,22-May-14
3 Nuts in Search of a Bolt,1964,None,Mamie Van Doren,Tommy Noonan,Comedy,5,USA,29-May-64
Live!,2007,Bill Guttentag,Eva Mendes,David Krumholtz,Drama,5.9,USA,1-Nov-07
A Time to Die,1982,Joe Tornatore,Rex Harrison,Rod Taylor,Crime,4.3,USA,Jun-83
"Hamlet, Prince of Denmark",1997,None,Ernest Abuba,Don Arrup,Drama,4,USA,20-Jul-97
The Heart Is Deceitful Above All Things,2004,None,Asia Argento,Dylan Sprouse,Drama,6.6,USA,19-Jan-05
Fillmore,1972,Richard T. Heffron,Bill Graham,Marty Balin,Documentary,7.7,USA,13-Jan-73
The Dark Angel,1983,Pieter Vanderbilt,Jamie Gillis,Phaedra Grant,Adult,7.2,USA,1983
Alice Sweet Alice,1976,Alfred Sole,Linda Miller,Mildred Clinton,Horror,6.5,USA,13-Nov-76
Subprime,2011,James Repici,Ken Baranda,Michael Santi,Drama,7.1,USA,21-Jun-11
Kill Me Tomorrow,2000,Patrick McGuinn,Louisa Shafia,Joseph Paolini,Horror,3.6,USA,20-Jun-00
Rosebud,1975,Otto Preminger,Peter O'Toole,Richard Attenborough,Action,5.1,USA,24-Mar-75
Bigfoot Vs. Zombies,2016,Mark Polonia,Danielle Donahue,Dave Fife,Horror,2.4,USA,2016
The Tom and Jerry Movie,1992,Phil Roman,Richard Kind,Dana Hill,Animation,5.3,USA,30-Jul-93
Doggie B,2011,Romanus Wolter,Jesse Draper,Bettina Devin,Family,3.5,USA,11-Apr-13
Way Far Gone,2014,Brandon Nease,Jessejames Locorriere,John Ferguson,Drama,7.6,USA,28-Feb-14
The Female Brain,2017,Whitney Cummings,Toby Kebbell,Ben Platt,Comedy,6.2,USA,9-Feb-18
Victims,1982,Tony Vorno,Lois Adams,Laura Borenstein,Drama,5,USA,Jul-82
Loving Couples,1980,Jack Smight,Shirley MacLaine,James Coburn,Comedy,5.2,USA,24-Oct-80
Simple Justice,1989,Deborah Del Prete,Cady McClain,Matthew Galle,Crime,5.3,USA,31-May-91
What Is It?,2005,Crispin Glover,Michael Blevis,Carlos Richardson,Drama,5.9,USA,27-Jan-05
Out in Fifty,1999,None,Mickey Rourke,Scott Anthony Leet,Action,3.9,USA,Oct-00
Xscape,2000,Aaron Michael Lacey,Emile Piscitelli,Ana Yudiskas,Drama,6.3,USA,NA
Chandler,1971,Paul Magwood,Warren Oates,Leslie Caron,Crime,4.4,USA,1-Dec-71
Marrow,2011,Matt Wilkins,Suzanne Bouchard,Keith Fox,Drama,6.7,USA,4-Mar-11
The Erotic Adventures of Bonnie & Clyde,1988,Max Schenk,Shanna McCullough,Long Chaney,Adult,5.8,USA,NA
Fantastic Four,2015,Josh Trank,Miles Teller,Kate Mara,Action,4.3,USA,7-Aug-15
Psychedelic Sexualis,1966,Albert Zugsmith,Ronald Warren,Sandra Lynn,Drama,5.2,USA,22-Jun-66
Safari 3000,1982,Harry Hurwitz,David Carradine,Stockard Channing,Action,4.6,USA,May-82
I Am Nightmare,2014,M. dot Strange,Jimmy ScreamerClauz,Jason Variant,Animation,7.3,USA,14-Feb-14
Summer's Shadow,2014,Steve Franke,Belle Shouse,Bailey,Drama,6.8,USA,24-Aug-14
PT 109,1963,Leslie H. Martinson,Cliff Robertson,Robert Culp,Biography,6.5,USA,19-Jun-63
Two Days Back,2011,Kevin Alexander Boon,Katherine Howard,Johnno Wilson,Horror,6.2,USA,18-Nov-11
The Fear: Resurrection,1999,Chris Angel,Gordon Currie,Stacy Grant,Horror,2.7,USA,5-Oct-99
Git!,1965,Ellis Kadison,Jack Chaplain,Heather North,Drama,4.9,USA,Oct-65
Traci's Big Trick,1987,Jane Waters,Sharon Mitchell,Peter North,Adult,5.6,USA,NA
Vice Academy 5,1996,Rick Sloane,J.J. North,Chad Gabbert,Comedy,5.2,USA,NA
Titan A.E.,2000,Don Bluth,Matt Damon,Drew Barrymore,Action,6.6,USA,16-Jun-00
Friend 2,2013,Kyung-taek Kwak,Jalen K. Cassell,Michelle Deco,Action,6.5,USA,13-Dec-13
My Sister Eileen,1974,Bob Kirk,John Seeman,Joey Silvera,Adult,5.8,USA,Jul-74
For the Title,2005,None,Brian McKenney,Kate Landry,Comedy,8.9,USA,10-Aug-05
Haunted House: Demon Poltergeist,2013,Philip Gardiner,Michelle Gent,Lee Roberts,Mystery,3.3,USA,1-Sep-13
Finding Eden,2017,Rodney Luis Aquino,Joseph Gatt,Michael Campion,Drama,7.5,USA,2017
The Last Shot,2010,None,Emilio Rodriguez,Josh Arms,Action,7.8,USA,28-May-10
The Way of War,2009,John R. Carter,Cuba Gooding Jr.,Clarence Williams III,Action,3.3,USA,10-Feb-09
Delta Fox,1979,Ferd Sebastian,Stuart Whitman,John Ireland,Crime,6.4,USA,Oct-79
Mango Dreams,2016,John Upchurch,Ram Gopal Bajaj,Pankaj Tripathi,Adventure,8.7,USA,23-Apr-16
Smooth Operator,1995,Kelley Cauthen,Tom Jourden,Megan Hughes,Drama,5.2,USA,NA
The Owls,2010,Cheryl Dunye,Deak Evgenikos,Guinevere Turner,Crime,4.8,USA,24-May-10
Future '38,2017,Jamie Greenberg,Madison Arnold,Ilana Becker,Comedy,6.6,USA,1-Dec-17
Heaven and Earth,1987,Ulli Lommel,Susan Anspach,Bert Conway,Drama,5.3,USA,NA
Who Shaved Lynn LeMay?,1989,Henri Pachard,Rick Savage,Joey Silvera,Adult,8,USA,NA
The Boxer,1997,Jim Sheridan,Daniel Day-Lewis,Emily Watson,Drama,7.1,USA,9-Jan-98
No Weapon Shall Prosper,2014,Michael Lemelle,April Marcell,Aries Marvin Uzzle,Action,6.2,USA,14-Jan-14
Starforce,2000,Cary Howe,Michael Bergin,Amy Weber,Sci-Fi,6,USA,10-Jul-00
The River Why,2010,Matthew Leutwyler,Zach Gilford,Amber Heard,Drama,5.9,USA,Apr-10
Gut-Pile,1997,Jerry O'Sullivan,Jeffrey Forsyth,Ron Bonk,Horror,3.9,USA,NA
In Your Eyes,2014,Brin Hill,Michael Stahl-David,Zoe Kazan,Fantasy,7.1,USA,20-Apr-14
Redneck Carnage,2009,Johnno Zee,Kenny Kalinowski,Eric Fisher,Horror,4.8,USA,25-May-09
She Was So Pretty,2016,Brooklyn Ewing,Jerry Larew,Elvis McComas,Horror,4.1,USA,24-Jun-16
The Boy with the X-Ray Eyes,1999,Jeff Burr,Bryan Neal,Dara Hollingsworth,Adventure,3.9,USA,25-Oct-05
Virgin Dreams,1977,Zebedy Colt,Susan McBain,Joyce Withers,Adult,6,USA,Oct-77
The Choppers,1961,Leigh Jason,Arch Hall Jr.,Robert Paget,Comedy,5,USA,30-Nov-61
To Die Is Hard,2010,None,Glenn Berggoetz,Baird Lefter,Action,7.3,USA,2010
Mummy Dearest,1990,Duck Dumont,Jamie Gillis,Jacqueline,Adult,6.5,USA,NA
Orthogenesis,2005,None,Joni Pierce,Danica Kneebone,Sci-Fi,7,USA,3-Oct-05
The Narrow Gate,2006,Laura Storm,Heather MacAllister,Dean Alai,Drama,7.6,USA,2006
Austin Found,2017,Will RaÃ©e,Linda Cardellini,Skeet Ulrich,Comedy,5.2,USA,7-Jul-17
Mind Twister,1993,Fred Olen Ray,Telly Savalas,Erika Nann,Drama,4.2,USA,27-Feb-93
Mercury Plains,2016,Charles Burmeister,Scott Eastwood,Nick Chinlund,Action,4.3,USA,23-Feb-17
The Albatross,1999,Neal J. Gauger,M. Alex Jackson,Chase Bodine,Comedy,6.1,USA,NA
Nothing But Life,2004,Rajiv Anchal,Madhavan,Kaveri,Comedy,7.4,USA,25-Dec-04
Illicit Dreams 2,1997,Fred Olen Ray,Tim Abell,Tane McClure,Drama,3.6,USA,2-Jan-97
Line of Duty,2013,Bryan Ramirez,Jeremy Ray Valdez,Walter Perez,Action,5.2,USA,23-Feb-13
What Lies Beneath,2000,Robert Zemeckis,Harrison Ford,Michelle Pfeiffer,Drama,6.6,USA,21-Jul-00
Counter Clockwise,2016,George MoÃ¯se,Michael Kopelow,Frank Simms,Comedy,4.3,USA,4-Oct-16
Blood + Kisses,2005,Gregg R. Simpson,Denise Masino,Robert Masino,Horror,7.8,USA,9-Sep-05
Abominable,2006,Ryan Schifrin,Matt McCoy,Haley Joel,Horror,5.1,USA,10-Apr-06
Thomasine & Bushrod,1974,Gordon Parks Jr.,Max Julien,Vonetta McGee,Action,5.8,USA,10-Apr-74
Claustrophobia,2003,Mark Tapio Kines,Melanie Lynskey,Sheeri Rappaport,Horror,3.6,USA,18-Jun-03
Grace's Place,1973,Chuck Vincent,Grace Tarpey,John Catlin,Adult,7.8,USA,28-Nov-73
Dirty Dancing Concert Tour,1988,Louis J. Horvitz,Baruch Cozlo Darling,M.R. Fletcher,Documentary,7.2,USA,NA
Cyber Ninja,2009,James Arnett,Tamara Mack,Rebecca Raphaelson,Action,3.9,USA,31-Oct-09
City of the Dream Demons,2014,Johnny Dickie,Peter Beres,Joshua Bruce,Horror,4.1,USA,29-Apr-14
7 Days of Yellow,2009,Perla Faye Humphrey,Courtney Amis,Anessa Ramsey,Comedy,4.8,USA,NA
The Exchange,2016,Cynthia Mitchell,Massimiliano Belsito,Maryne Bertieaux,Drama,6.2,USA,16-Apr-16
Maybe Shower,2017,Lex Lybrand,Kelsey Thomas,Megan Simon,Comedy,9.9,USA,NA
Something Is Killing Tate,2008,Leon Lozano,Luz Beato,Tyrone Caprice,Drama,7,USA,Mar-11
Season of the Witch,1972,George A. Romero,Jan White,Raymond Laine,Drama,5.5,USA,18-Apr-73
Billy Frankenstein,1998,Fred Olen Ray,Brian Carrillo,Kristin Jadrnicek,Comedy,4.1,USA,NA
Pacing the Cage,2014,E.B. Hughes,Denny Dale Bess,Mark Borkowski,Crime,8,USA,1-Jan-14
Drink of Love,1990,C.C. Williams,Kimberly Kane,Sean Michaels,Adult,7,USA,NA
Elixir,2007,David Miller,Dave Clark,Kevin Howard,Comedy,8.4,USA,30-Oct-07
Fiend,1980,None,Don Leifert,Richard Nelson,Horror,4.3,USA,Sep-80
Pani Thuli,2012,Natty Kumar,Ganesh Venkatraman,Kalpana Pandit,Romance,4.4,USA,10-Aug-12
The War at Home,1996,None,Emilio Estevez,Kathy Bates,Drama,7.1,USA,20-Nov-96
American Shopper,2007,Sybil Dessau,Clare Adrian,Wes Cunningham,Comedy,7.7,USA,4-Feb-07
The Grissom Gang,1971,Robert Aldrich,Kim Darby,Scott Wilson,Crime,6.9,USA,Sep-71
The Encounter,2015,Robert Conway,Clint James,Owen Conway,Horror,3.4,USA,2-Jun-15
It Lives in the Attic,2016,None,Steve Hudgins,Michael Coon,Thriller,3.6,USA,12-Nov-16
Oracabessa,2016,Richard A. Nelson,Omar Abbas,Colton Ackerman,Crime,8.2,USA,2016
Aaah! Zombies!!,2007,Matthew Kohnen,Matthew Davis,Julianna Robinson,Comedy,5.7,USA,1-Jan-13
God's Will,1989,Julia Cameron,Holly Fulger,Marge Kotlisky,Drama,7.7,USA,NA
A Quintet,2014,Ariel Shaban,Jelena Stupljanin,Demet GÃ¼l,Comedy,5.4,USA,19-Aug-14
Blood Punch,2014,Madellaine Paxson,Milo Cawthorne,Olivia Tennet,Horror,6.3,USA,21-Feb-14
FightFuckPray,2008,Darren Mann,Dan Bush,Conal Byrne,Drama,4.6,USA,12-Apr-08
Duty Dating,2002,Cherry Norris,Lauren Sinclair,Paul Satterfield,Comedy,5.1,USA,23-Feb-02
Let Clay Be Clay,2013,Darryl McCane,Conroe Brooks,Belinda Clark,Drama,8,USA,Feb-13
Matilda,1996,None,Danny DeVito,Rhea Perlman,Comedy,6.9,USA,2-Aug-96
Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,William Shatner,Leonard Nimoy,Action,7.7,USA,4-Jun-82
Clinger,2015,Michael Steves,Vincent Martella,Jennifer Laporte,Comedy,4.8,USA,12-Jan-15
Satisfactions,1983,Gary Graver,Rhonda Jo Petty,Kay Parker,Adult,6.6,USA,10-Dec-83
"Sorry, Haters",2005,Jeff Stanzler,Robin Wright,Abdellatif Kechiche,Drama,6.3,USA,1-Mar-06
From Mexico with Love,2009,Jimmy Nickerson,Kuno Becker,Steven Bauer,Action,5.3,USA,9-Oct-09
Getting It,1985,Philip St. John,Chris Allen,Cody Jameson,Adult,9.1,USA,NA
Morella,1999,James Glenn Dudelson,Lisa Blair,Lisa Darr,Sci-Fi,3.4,USA,21-Sep-99
When the Line Goes Through,1973,Clyde Ware,Tillie Allen,Dick Barton,Drama,5.2,USA,NA
Click... a 'Nam War Flick,2003,Steven Kahler,Brandon Ambrose,Helen Dinand,War,7.9,USA,2003
Old Dogs,2009,Jonathan Fahn,John Saxon,Basil Hoffman,Comedy,6.5,USA,1-Jan-09
Victory to the Underdog,2009,None,Michael Berryman,Brandon Bond,Documentary,9.3,USA,14-Mar-09
Pan,2015,Joe Wright,Levi Miller,Hugh Jackman,Adventure,5.8,USA,9-Oct-15
Two Senoritas,1975,None,Shaun Costello,Jamie Gillis,Adult,3.6,USA,3-Feb-75
Fighting with Anger,2007,Sam Um,Willie Nelson,Kelli Fleming,Action,4.8,USA,2-Sep-09
Reversion,2015,Jose Nestor Marquez,Aja Naomi King,Colm Feore,Sci-Fi,5.2,USA,9-Oct-15
Bad Girls Do Cry,1965,Sid Melton,Robin Jewel,June Gauer,Drama,3,USA,6-Oct-65
Ta Ra Rum Pum,2007,Siddharth Anand,Saif Ali Khan,Rani Mukerji,Family,5.5,USA,27-Apr-07
Squad 77,2006,Reece Tedford,Aaron Groben,Jeff D. Howard,Adventure,6.1,USA,1-Aug-06
Mimic,1997,Guillermo del Toro,Mira Sorvino,Jeremy Northam,Horror,5.9,USA,22-Aug-97
Circle of Eight,2009,Stephen Cragg,John Bishop,Kirk Bovill,Horror,3.9,USA,27-Oct-09
Evil Grave: Curse of the Maya,2004,None,David Heavener,Amanda Bauman,Horror,2.4,USA,3-Nov-04
3:52,2005,Shawna Baca,Felipe Alejandro,Karen Allen,Drama,7.7,USA,15-Sep-05
She's No Angel,1976,None,Alexandria,Beth Anna,Adult,6.2,USA,NA
Whispers: An Elephant's Tale,2000,None,Angela Bassett,Joanna Lumley,Family,5.2,USA,10-Mar-00
Newness,2017,Drake Doremus,Nicholas Hoult,Laia Costa,Drama,6.4,USA,3-Nov-17
Jellysmoke,2005,Mark Banning,Michael Ealy,Andre Royo,Drama,6.3,USA,17-Jun-05
Motion Sickness,2010,S.M. Kerstein,Jimmy King,Elena McGhee,Fantasy,6.1,USA,2012
RoadStrip,2013,Jake Jaxson,Jake Bass,Max Ryder,Comedy,9.2,USA,Jul-13
The Entire History of the Louisiana Purchase,1998,Joshua Oppenheimer,Jennifer Lee Carrell,J. Eric Marler,History,6.6,USA,Oct-98
Pipeline,2007,Jordan Alan,Jason Momoa,Amanda Righetti,Drama,7,USA,2007
The Protector,1997,Jack Gill,Matt McColm,Annabel Schofield,Action,4.5,USA,23-Dec-97
Victims of Fun,2014,Brian Naydol,Charley Ricker,Shannon Lee Day,Drama,8.8,USA,8-Feb-14
Sexually Frank,2012,Frankie Frain,Adam Karofsky,Jonathan Chandonnais,Comedy,8.6,USA,10-Feb-12
Half Empty,2009,Troy Carlton,Michael Altillio,Samantha Amodio,Comedy,7.1,USA,NA
Freak Talks About Sex,1999,Paul Todisco,Steve Zahn,Josh Hamilton,Comedy,6.1,USA,3-Jun-99
Corporate FM,2012,None,Danny Cox,Jewel Kilcher,Documentary,8.5,USA,NA
Greased Lightning,1977,Michael Schultz,Richard Pryor,Beau Bridges,Action,6.2,USA,Jul-77
The Crazysitter,1994,Michael McDonald,Beverly D'Angelo,Ed Begley Jr.,Comedy,4.8,USA,31-Dec-94
Gangster Squad,2013,Ruben Fleischer,Sean Penn,Ryan Gosling,Action,6.7,USA,11-Jan-13
The Climb,2002,John Schmidt,Jason George,Ned Vaughn,Action,6.1,USA,22-Feb-02
Moved,2015,None,Will Bozarth,Lee Dolson,Comedy,6,USA,13-Jan-15
Party in the Rear,1989,None,Debi Diamond,Jade East,Adult,6.8,USA,NA
Born to Be Wild,1987,None,Shone Taylor,Brandy Alexandre,Adult,6.7,USA,NA
Anomaly,2016,None,Hunter Alexes Parker,Lara Jean Mummert,Horror,3,USA,NA
Smokey and the Judge,1980,Dan Seeger,Gwen Owen,Cathy Carson,Action,3.9,USA,NA
The Fix,2015,None,Meta Golding,Blaine Gray,Drama,6.3,USA,NA
Purim: The Lot,2014,Moshe Khusid,Raleigh West,James V. Roy,Animation,7.7,USA,1-Oct-14
The Adventures of Pluto Nash,2002,Ron Underwood,Eddie Murphy,Jay Mohr,Action,3.8,USA,16-Aug-02
Always,1985,None,Bob Rafelson,Patrice Townsend,Drama,5.7,USA,4-Oct-85
They,2017,Anahita Ghazvinizadeh,Rhys Fehrenbacher,Koohyar Hosseini,Drama,5.6,USA,13-Oct-17
Back at the Staircase,2018,Drew Britton,Mickey O'Hagan,Jennifer Lafleur,Comedy,8.3,USA,19-Jan-18
Straight Outta Oakland 2,2017,None,Marcus D. Spencer,Alphonso Thompson,Drama,8,USA,5-Dec-17
Once Upon a Film,2007,Dex Decker,Katie Corrado,Adam Saunders,Comedy,6.2,USA,Sep-07
The Golden Scallop,2013,Joseph Laraja,Tobias Jelinek,Joshua Koopman,Comedy,7.6,USA,2013
2 to Tangle,2013,Caleb Johnson,Emily Anderson,Blake Applegate,Drama,5.9,USA,2-Apr-13
Cross Creek,1983,Martin Ritt,Mary Steenburgen,Rip Torn,Biography,7,USA,27-Oct-83
Drawn to the Flame,1997,Valerie Landsburg,Leslie S. Sachs,Amber Herrel,Romance,4.2,USA,23-Nov-13
Girl from Tobacco Row,1966,Ron Ormond,Rita Faye,Tim Ormond,Comedy,5.4,USA,24-Aug-66
Tom and Huck,1995,Peter Hewitt,Jonathan Taylor Thomas,Brad Renfro,Adventure,5.6,USA,22-Dec-95
Bratz: Desert Jewelz,2012,David Mucci Fassett,Brian Drummond,Colin Murdock,Animation,6.4,USA,Jan-12
Streetwalkin',1985,Joan Freeman,Melissa Leo,Dale Midkiff,Action,5.9,USA,20-Sep-85
Warrior Woman,2011,Julie Reichert,Karen Young,Aarti K. Attreya,Drama,6.1,USA,4-Jun-11
Woggie,2012,None,Anisha Adusumilli,Abe R. Rated,Comedy,8.2,USA,13-Nov-12
Howling Moon,2011,Damon Blalack,James Cyrus,John Ferguson,Horror,8.8,USA,12-Mar-11
Heart Condition,1990,James D. Parriott,Bob Hoskins,Denzel Washington,Comedy,5.6,USA,2-Feb-90
Snatched,2011,Joe Cacaci,Andrew McCarthy,Ernest Borgnine,Comedy,6,USA,7-Jul-16
The Wild Westerners,1962,Oscar Rudolph,Hugh Sanders,James Philbrook,Western,5.2,USA,Jun-62
In the Devil's Courthouse,2011,None,Ashley Marie Nelson,Dustin Webb,Horror,4.8,USA,NA
You Are Not Alone,2014,Derek Mungor,David O'Brien,Mary Mikva,Horror,4.4,USA,22-Jun-14
Parole Violators,1994,Patrick G. Donahue,Sean P. Donahue,Pamela Bosley,Action,5,USA,NA
Just Sex,2010,William Blanchard,Jonathan Hinnen,Ian Nadler,Comedy,7.2,USA,NA
Trouble Man,1972,Ivan Dixon,Robert Hooks,Paul Winfield,Action,6.8,USA,14-Apr-73
Open Mic'rs,2006,Gary Wood,Apollo Bacala,Chris Bauman,Comedy,7,USA,28-Apr-06
All in Time,2015,Chris Fetchko,Sean Modica,Lynn Cohen,Comedy,5.4,USA,Apr-15
Pulsating Flesh,1986,Carlos Tobalina,Tess Ferre,Renee Summers,Adult,5.1,USA,1986
Call Me,1988,Sollace Mitchell,Patricia Charbonneau,Stephen McHattie,Drama,5.3,USA,3-Jun-89
Crepitus,2017,Haynze Whitmore,Eve Mauro,Bill Moseley,Horror,7.8,USA,NA
Gun,2010,Jessy Terrero,50 Cent,Val Kilmer,Action,3.8,USA,5-Sep-15
Harker: The Awakening,2017,Paul-Thomas L. Parnell,Trey Quick,Devin Walker,Sci-Fi,5.8,USA,8-Sep-17
The Family Man,2000,Brett Ratner,Nicolas Cage,TÃ©a Leoni,Comedy,6.7,USA,22-Dec-00
Nightdreams II,1990,Stephen Sayadian,Harry Jabarr,Sharon Kane,Adult,6.2,USA,1990
The Lost Empire,1984,Jim Wynorski,Melanie Vincz,Raven De La Croix,Action,4.9,USA,Feb-85
Automatic,2005,Jonathan Walls,Jamie Anne Allman,Jennifer Ferguson,Drama,5.8,USA,NA
Wright Street,2010,Mike Watne,Athena Bosman,Jodei Bosman,Drama,7,USA,NA
Gomer and Ed in West Hollywood,2001,None,Lucas Heppe,Andrew Hicks,Action,7,USA,26-Feb-01
New York City Serenade,2007,Frank Whaley,Freddie Prinze Jr.,Chris Klein,Comedy,5.2,USA,15-Aug-08
At the Top of the Pyramid,2014,Lawrence Jordan,Elle McLemore,Jessica Luza,Family,7.4,USA,2014
Puss in Boots,2011,Chris Miller,Antonio Banderas,Salma Hayek,Action,6.7,USA,28-Oct-11
Cost of a Soul,2010,Sean Kirkpatrick,Chris Kerson,Will Blagrove,Crime,5.7,USA,20-May-11
Cherry Blossom,1972,Jonas Middleton,Tiffany Mann,Harry Reems,Adult,5.8,USA,6-May-74
Mission Italian,2015,Pradeep Paga,Shannon Brown,Jimmie Tolliver,Comedy,5.8,USA,8-Aug-15
Family Thighs,1989,Ron Jeremy,Rocky Dilorenzo,David Morris,Adult,5.8,USA,NA
Double Dare,1986,Charles Webb,Nikki Knights,Lynn Francis,Adult,5.1,USA,NA
The Sentimental Engine Slayer,2010,None,Tatiana Velazquez,Nomar Rizo,Drama,6.9,USA,22-Apr-10
Cousins,1989,Joel Schumacher,Ted Danson,Isabella Rossellini,Comedy,6.2,USA,10-Feb-89
The Sand Box,2016,Jennifer Kramer,Sayeed Shahidi,Mark Collier,Drama,9.4,USA,14-Jan-16
Keepers of the Light,2010,Pamela Denise Weaver,Deaven Carter,Jacob Carter,Documentary,7.8,USA,NA
The Big Bounce,1969,Alex March,Ryan O'Neal,Leigh Taylor-Young,Drama,5.4,USA,Jul-69
La caja,2005,None,Elias Castillo,Laura Apodaca,Thriller,7.9,USA,NA
